,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
172,ma,smoothed_wearing_mask,2021-01-04,2021-01-09,5,97.153549,0.2194377,5743.0125,state,fb-survey
173,md,smoothed_wearing_mask,2021-01-04,2021-01-09,5,97.55245,0.2249604,4717.9966,state,fb-survey
174,me,smoothed_wearing_mask,2021-01-04,2021-01-09,5,94.3076208,0.4995743,2151.0,state,fb-survey
175,mi,smoothed_wearing_mask,2021-01-04,2021-01-09,5,94.062016,0.2185374,11695.0453,state,fb-survey
176,mn,smoothed_wearing_mask,2021-01-04,2021-01-09,5,93.4100769,0.3620639,4695.7346,state,fb-survey
177,mo,smoothed_wearing_mask,2021-01-04,2021-01-09,5,88.3031421,0.4392206,5354.0193,state,fb-survey
178,ms,smoothed_wearing_mask,2021-01-04,2021-01-09,5,89.7140333,0.570466,2835.6065,state,fb-survey
179,mt,smoothed_wearing_mask,2021-01-04,2021-01-09,5,87.6361627,0.8648816,1448.516,state,fb-survey
180,nc,smoothed_wearing_mask,2021-01-04,2021-01-09,5,93.395519,0.2392952,10772.0116,state,fb-survey
181,nd,smoothed_wearing_mask,2021-01-04,2021-01-09,5,88.3497961,1.1555898,770.7822,state,fb-survey
182,ne,smoothed_wearing_mask,2021-01-04,2021-01-09,5,89.8341755,0.6713814,2026.0289,state,fb-survey
183,nh,smoothed_wearing_mask,2021-01-04,2021-01-09,5,95.7019329,0.4575259,1965.0,state,fb-survey
184,nj,smoothed_wearing_mask,2021-01-04,2021-01-09,5,96.1626154,0.2368323,6578.9972,state,fb-survey
185,nm,smoothed_wearing_mask,2021-01-04,2021-01-09,5,94.9383142,0.4650296,2222.1605,state,fb-survey
186,nv,smoothed_wearing_mask,2021-01-04,2021-01-09,5,94.365253,0.4926644,2190.7062,state,fb-survey
187,ny,smoothed_wearing_mask,2021-01-04,2021-01-09,5,96.669405,0.1484704,14606.0026,state,fb-survey
188,oh,smoothed_wearing_mask,2021-01-04,2021-01-09,5,93.9751571,0.2165478,12074.0053,state,fb-survey
189,ok,smoothed_wearing_mask,2021-01-04,2021-01-09,5,88.5610203,0.4764961,4461.8106,state,fb-survey
190,or,smoothed_wearing_mask,2021-01-04,2021-01-09,5,93.8929195,0.3552758,4542.9224,state,fb-survey
191,pa,smoothed_wearing_mask,2021-01-04,2021-01-09,5,93.5996063,0.2125857,13256.0079,state,fb-survey
192,ri,smoothed_wearing_mask,2021-01-04,2021-01-09,5,96.5871771,0.5208716,1214.9875,state,fb-survey
193,sc,smoothed_wearing_mask,2021-01-04,2021-01-09,5,91.2256732,0.3588474,6216.0046,state,fb-survey
194,sd,smoothed_wearing_mask,2021-01-04,2021-01-09,5,81.4039232,1.1924724,1064.5597,state,fb-survey
195,tn,smoothed_wearing_mask,2021-01-04,2021-01-09,5,89.6271406,0.3702673,6781.2128,state,fb-survey
196,tx,smoothed_wearing_mask,2021-01-04,2021-01-09,5,93.0466206,0.1766033,20744.3169,state,fb-survey
197,ut,smoothed_wearing_mask,2021-01-04,2021-01-09,5,92.5062699,0.4832669,2968.2129,state,fb-survey
198,va,smoothed_wearing_mask,2021-01-04,2021-01-09,5,94.9687092,0.2403156,8273.626,state,fb-survey
199,vt,smoothed_wearing_mask,2021-01-04,2021-01-09,5,96.9208259,0.5403808,1022.0016,state,fb-survey
200,wa,smoothed_wearing_mask,2021-01-04,2021-01-09,5,95.7922029,0.230465,7588.8337,state,fb-survey
201,wi,smoothed_wearing_mask,2021-01-04,2021-01-09,5,91.7464616,0.3629595,5747.9525,state,fb-survey
202,wv,smoothed_wearing_mask,2021-01-04,2021-01-09,5,93.0585969,0.4957654,2628.1572,state,fb-survey
203,wy,smoothed_wearing_mask,2021-01-04,2021-01-09,5,77.3668828,1.5533063,725.747,state,fb-survey
204,ak,smoothed_wearing_mask,2021-01-05,2021-01-10,5,88.1563594,1.1044156,856.0,state,fb-survey
205,al,smoothed_wearing_mask,2021-01-05,2021-01-10,5,90.5572949,0.4392926,4431.106,state,fb-survey
206,ar,smoothed_wearing_mask,2021-01-05,2021-01-10,5,91.823226,0.4902665,3123.7054,state,fb-survey
207,az,smoothed_wearing_mask,2021-01-05,2021-01-10,5,93.288121,0.3207724,6085.2241,state,fb-survey
208,ca,smoothed_wearing_mask,2021-01-05,2021-01-10,5,96.2828053,0.1146303,27237.3636,state,fb-survey
209,co,smoothed_wearing_mask,2021-01-05,2021-01-10,5,93.9087623,0.3218293,5522.8166,state,fb-survey
210,ct,smoothed_wearing_mask,2021-01-05,2021-01-10,5,97.1438325,0.2513153,4393.0,state,fb-survey
